date,value,close,position,returns,cummax,drawdown
2021-06-21,90595.30784191514,1839.3327699999995,0,0.0,113285.00000000001,-0.20028858329068167
2021-06-22,90595.30784191514,1832.6627699999995,0,0.0,113285.00000000001,-0.20028858329068167
2021-06-23,90595.30784191514,1795.6927699999999,0,0.0,113285.00000000001,-0.20028858329068167
2021-06-24,90169.70784191514,1825.7427699999998,-15,-0.004697815042945308,113285.00000000001,-0.2040454796141138
2021-06-25,89521.06284191515,1868.9857699999998,-15,-0.007193602103460206,113285.00000000001,-0.20977125972622024
2021-06-28,89355.91284191514,1879.99577,-15,-0.0018448172391747342,113285.00000000001,-0.21122908732916867
2021-06-29,89971.06284191515,1838.9857699999998,-15,0.006884267424902335,113285.00000000001,-0.20579897742935838
2021-06-30,90050.56284191515,1833.6857699999996,-15,0.0008836174375275174,113285.00000000001,-0.20509720755691274
2021-07-01,89326.06284191515,1881.9857699999998,-15,-0.008045479974088221,113285.00000000001,-0.21149258205486043
2021-07-02,90706.06284191515,1789.9857699999998,-15,0.015449018529365421,113285.00000000001,-0.19931091634448395
2021-07-05,90991.06284191515,1770.9857699999998,-15,0.0031420170942344505,113285.00000000001,-0.19679513755647138
2021-07-06,90434.06284191513,1789.8857699999999,-30,-0.006121480314695615,113285.00000000001,-0.20171194031058726
2021-07-07,90786.06284191513,1780.9857699999998,-45,0.0038923386712739205,113285.00000000001,-0.19860473282504199
2021-07-08,91641.06284191513,1761.9857699999998,-45,0.009417745116767628,113285.00000000001,-0.1910573964610044
2021-07-09,92094.67284191513,1749.0957699999997,-61,0.004949855293390648,113285.00000000001,-0.1870532476328276
2021-07-12,92772.38284191513,1737.9857699999998,-61,0.00735884040940471,113285.00000000001,-0.1810709022208138
2021-07-13,91436.48284191512,1759.8857699999999,-61,-0.014399759487436992,113285.00000000001,-0.1928632842660979
2021-07-14,92711.38284191513,1738.9857699999998,-61,0.013943012246043995,113285.00000000001,-0.18160936715438836
2021-07-15,90515.99284191511,1774.97577,-61,-0.02367983232159787,113285.00000000001,-0.2009887201137388
2021-07-16,93083.48284191512,1732.8857699999999,-61,0.028365042677972907,113285.00000000001,-0.17832473105958335
2021-07-19,91918.38284191513,1751.9857699999998,-61,-0.012516721167155853,113285.00000000001,-0.1886094112908583
2021-07-20,91613.38284191513,1756.9857699999998,-61,-0.0033181610747499146,113285.00000000001,-0.19130173595873146
2021-07-21,92284.38284191513,1745.9857699999998,-61,0.007324257430356695,113285.00000000001,-0.18537862168941066
2021-07-22,94052.77284191512,1716.9957699999998,-61,0.01916239720678714,113285.00000000001,-0.16976852326508263
2021-07-23,96493.38284191511,1676.98577,-61,0.025949367852260874,113285.00000000001,-0.14822454127276252
2021-07-26,102342.67284191513,1581.0957699999997,-61,0.060618560855959513,113285.00000000001,-0.09659113879229275
2021-07-27,107907.09284191512,1489.8757699999999,-61,0.0543704775875371,113285.00000000001,-0.04747236755161666
2021-07-28,104490.48284191512,1545.8857699999999,-61,-0.0316625155030853,113285.00000000001,-0.07763178848113073
2021-07-29,105656.19284191511,1526.77577,-61,0.011156135643124676,113285.00000000001,-0.06734172360051993
