date,action,price,size,units,position
2025-02-14,BUY,1385.4057699999998,32,0,0
2025-02-18,BUY,1390.34577,32,1,32
2025-03-04,BUY,1405.34577,31,2,63
2025-04-01,SELL,1484.34577,-63,0,0
2025-04-08,SELL,1433.34577,-27,1,-27
2025-04-09,SELL,1445.3657699999999,-26,2,-53
2025-05-09,BUY,1499.33577,53,0,0
2025-05-12,BUY,1518.3457700000001,34,1,34
2025-05-27,SELL,1471.34577,-34,0,0
2025-05-30,SELL,1460.49577,-36,1,-36
2025-06-03,SELL,1428.35577,-36,2,-72
2025-06-10,SELL,1406.34577,-39,3,-111
2025-06-13,SELL,1364.7557699999998,-41,4,-152
2025-07-07,BUY,1370.2987699999999,152,0,0
2025-07-14,BUY,1378.0187700000001,45,1,45
2025-08-04,SELL,1363.01877,-45,0,0
2025-08-26,BUY,1438.3387699999998,49,1,49
2025-08-28,SELL,1395.98877,-49,0,0
2025-09-03,BUY,1439.01877,43,1,43
2025-09-22,SELL,1413.1087699999998,-43,0,0
2025-09-25,SELL,1390.8487699999998,-41,1,-41
2025-09-29,SELL,1387.39877,-42,2,-83
2025-10-10,SELL,1385.6187699999998,-41,3,-124
2025-10-14,SELL,1378.00877,-44,4,-168
2025-10-17,BUY,1431.1187699999998,168,0,0
2025-11-19,BUY,1422.01877,42,1,42
2025-11-26,SELL,1396.8987699999998,-42,0,0
2025-12-05,SELL,1371.99877,-47,1,-47
2025-12-10,SELL,1348.01877,-48,2,-95
2025-12-11,SELL,1354.6787699999998,-47,3,-142
2025-12-26,BUY,1386.14577,142,0,0
2026-01-06,BUY,1404.52577,44,1,44
2026-01-15,SELL,1367.99577,-44,0,0
2026-01-20,SELL,1351.47577,-44,1,-44
2026-01-22,SELL,1323.98577,-45,2,-89
2026-01-23,SELL,1312.0757700000001,-44,3,-133
2026-01-27,SELL,1316.95577,-43,4,-176
2026-01-30,BUY,1406.97577,176,0,0
2026-02-03,BUY,1416.97577,24,1,24
2026-02-25,BUY,1441.97577,19,2,43
2026-03-02,SELL,1421.97577,-43,0,0
2026-03-10,SELL,1376.87577,-20,1,-20
2026-03-13,SELL,1364.45577,-23,2,-43
2026-03-17,BUY,1439.97577,43,0,0
2026-05-06,SELL,1337.07577,-23,1,-23
2026-05-13,SELL,1326.47577,-25,2,-48
2026-05-14,SELL,1309.97577,-26,3,-74
2026-05-19,SELL,1293.87577,-26,4,-100
