date,symbol,action,price,size,value,commission
2021-02-01,中钨高新,BUY,4.2907692307692304,107561,461519.4292307692,39.41375925630769
2021-03-01,中钨高新,SELL,4.983076923076923,-107561,461519.4292307692,45.77309653323077
2021-03-01,厦门钨业,SELL,17.825999999999997,-2003,30898.278,5.0
2021-03-01,章源钨业,BUY,4.517230769230769,107417,485227.37753846153,41.438418041784615
2021-04-01,厦门钨业,SELL,16.215999999999998,-28729,443173.55399999995,39.7852522256
2021-04-01,章源钨业,SELL,6.009538461538462,-6712,30319.652923076923,5.0
2021-05-06,章源钨业,SELL,8.540307692307694,-22396,101167.90030769231,16.334349633969236
2021-05-06,中钨高新,BUY,6.036923076923076,115914,699763.9015384614,59.75983719138461
2021-06-01,中钨高新,SELL,5.721538461538461,-115914,699763.9015384614,56.63782734830769
2021-06-01,章源钨业,BUY,8.001846153846156,10241,81946.90646153849,6.998265811815386
2021-07-01,章源钨业,SELL,6.794153846153848,-88550,435686.73076923075,51.378546390769245
2021-07-01,厦门钨业,BUY,19.075999999999997,34185,652113.0599999999,55.690455324
2021-07-01,中钨高新,BUY,7.429230769230766,82969,616395.8476923074,52.64020539292306
2021-08-02,厦门钨业,SELL,28.215999999999998,-1016,19381.215999999997,5.0
2021-10-08,中钨高新,SELL,7.890769230769231,-82969,616395.8476923074,55.91046043907692
2021-10-08,厦门钨业,SELL,22.065999999999995,-633,12075.107999999998,5.0
2021-11-01,厦门钨业,SELL,20.645999999999997,-32536,620656.7359999999,57.3664470624
2021-11-01,中钨高新,BUY,9.567692307692306,69328,663308.9723076922,56.64658623507691
2021-11-01,中国稀土,BUY,22.818029999999997,29942,683217.4542599999,58.346770593803996
2021-12-01,中国稀土,SELL,26.76803,-29942,683217.4542599999,68.447105453804
2021-12-01,中钨高新,SELL,13.667692307692308,-3004,28741.34769230769,5.0
2022-01-04,中钨高新,BUY,11.629230769230766,8605,100069.53076923074,8.545937927692306
2022-02-07,中钨高新,BUY,9.49076923076923,4307,40876.74307692307,5.0
2022-03-01,中钨高新,SELL,10.421538461538459,-79236,775513.8984615383,70.5199912393846
2022-03-01,章源钨业,BUY,6.355692307692309,123887,787387.6529230771,67.24290555963078
2022-03-01,瑞华泰,BUY,17.28,44179,763413.12,65.195480448
2022-05-05,瑞华泰,SELL,10.519999999999998,-44179,763413.12,39.69076703199999
2022-05-05,章源钨业,SELL,4.724923076923077,-15023,95481.56553846157,6.061907155446154
2022-06-01,章源钨业,SELL,5.4710769230769225,-108864,691906.0873846156,50.86452337033845
2022-06-01,厦门钨业,BUY,17.816,32352,576383.232,49.2231280128
2022-07-01,厦门钨业,SELL,19.855999999999998,-3245,57812.92,5.502554288
2022-07-01,中钨高新,BUY,10.759999999999998,52478,564663.2799999999,48.22224411199999
2022-08-01,厦门钨业,SELL,25.055999999999997,-29107,518570.312,62.2826463168
2022-08-01,中钨高新,BUY,12.721538461538461,4470,56865.276923076926,5.0
2022-08-01,瑞华泰,BUY,32.62000000000001,21783,710561.4600000003,60.68194868400003
2022-09-01,中钨高新,SELL,9.259999999999998,-56948,621528.5569230769,45.03470619199999
2022-09-01,厦门钨业,BUY,23.555999999999997,21816,513897.69599999994,43.8868632384
2022-10-10,厦门钨业,BUY,20.945999999999998,946,19814.915999999997,5.0
2022-11-01,厦门钨业,SELL,18.336,-22762,533712.612,35.6428883328
2022-11-01,瑞华泰,SELL,23.89,-21783,710561.4600000003,44.441807298
2022-11-01,章源钨业,BUY,4.694153846153846,97604,458168.192,39.1275635968
2022-11-01,中钨高新,BUY,10.475384615384614,44136,462341.57538461534,39.48397053784615
2022-12-01,章源钨业,SELL,5.271076923076923,-97604,458168.192,43.936437596800005
2022-12-01,中钨高新,SELL,11.25230769230769,-1531,16037.813846153844,5.0
2022-12-01,瑞华泰,BUY,23.38,22271,520695.98,44.467436692
2023-01-03,瑞华泰,SELL,22.9,-22271,520695.98,43.55450386
2023-01-03,中钨高新,BUY,11.483076923076922,1115,12803.630769230767,5.0
2023-01-03,中国稀土,BUY,14.37703,35797,514654.54290999996,43.951497964514
2023-02-01,中钨高新,SELL,12.05230769230769,-43720,459107.39230769227,44.99955660307692
2023-02-01,中国稀土,SELL,16.107029999999998,-35797,514654.54290999996,49.24021833851399
2023-02-01,章源钨业,BUY,5.794153846153846,88056,510210.0110769231,43.57193494596923
2023-02-01,瑞华泰,BUY,29.69,18695,555054.55,47.40165857
2023-03-01,章源钨业,SELL,6.878769230769232,-1795,10400.506153846154,5.0
2023-03-01,瑞华泰,BUY,27.82,2231,62066.42,5.300472268
2023-04-03,章源钨业,BUY,5.724923076923076,2004,11472.745846153844,5.0
2023-05-04,瑞华泰,SELL,23.020000000000003,-232,6841.826676861322,5.0
2023-06-01,章源钨业,SELL,5.448,-88265,511282.25076923077,41.066103288
2023-06-01,瑞华泰,SELL,24.96,-632,18638.079568001533,5.0
2023-08-01,瑞华泰,SELL,33.360000000000014,-4141,122120.70805552903,11.797477104000006
2023-09-01,中钨高新,BUY,8.69,64717,562390.73,48.028168342
2023-09-01,瑞华泰,BUY,32.02000000000001,2011,64392.22000000002,5.499095588000002
2023-10-09,瑞华泰,SELL,37.81000000000001,-1997,59459.25795628584,6.448261078000002
2023-11-01,中钨高新,SELL,8.379999999999999,-64717,562390.73,46.314850484
2023-11-01,瑞华泰,SELL,39.80000000000001,-361,10748.518839368646,5.0
2023-12-01,章源钨业,BUY,5.438000000000001,110452,600637.976,51.294483150400005
2024-01-02,章源钨业,SELL,5.387999999999999,-110452,600637.976,50.8228531104
2024-01-02,瑞华泰,SELL,32.360000000000014,-15574,463704.79890395375,43.039434256000014
2024-01-02,厦门钨业,BUY,15.846,36166,573086.436,48.9415816344
2024-01-02,中钨高新,BUY,7.959999999999999,71951,572729.96,48.911138584
2024-03-01,厦门钨业,SELL,15.406,-12,190.152,5.0
2024-03-01,中钨高新,SELL,7.809999999999999,-765,6089.4,5.0
2024-04-01,中钨高新,SELL,10.019999999999998,-1438,11446.48,5.0
2024-05-06,厦门钨业,SELL,17.946,-36154,572896.284,55.409201013600004
2024-05-06,章源钨业,BUY,6.648000000000001,100092,665411.616,56.82615200640001
2024-05-06,中钨高新,SELL,10.379999999999999,-8970,71401.2,7.951474439999999
2024-06-03,章源钨业,BUY,6.438,14421,92842.398,7.9287407892
2024-07-01,章源钨业,SELL,5.638,-114513,758254.0140000001,55.1363147076
