Date,ETF,Selected,Weight,Momentum,AdjMomentum
2026-05-15,银行ETF易方达,False,0.0,,
2026-05-22,人工智能ETF,True,0.24041413272552506,0.007274438687177975,0.3341604205528805
2026-05-22,军工ETF,False,0.0,,
2026-05-22,创新药ETF,False,0.0,,
2026-05-22,半导体ETF,True,0.3923752856138161,0.016033793928998823,0.5453768003104944
2026-05-22,恒生科技ETF,False,0.0,,
2026-05-22,房地产ETF,False,0.0,,
2026-05-22,旅游ETF,False,0.0,,
2026-05-22,机器人ETF嘉实,True,0.36721058166065884,0.009153187084679142,0.5103994553401962
2026-05-22,消费50ETF,False,0.0,,
2026-05-22,游戏ETF,False,0.0,,
2026-05-22,电池ETF,False,0.0,,
2026-05-22,科创50ETF,False,0.0,,
2026-05-22,银行ETF易方达,False,0.0,,
2026-05-29,人工智能ETF,True,0.31993718489352124,0.0069162751334671205,0.29444975032003773
2026-05-29,军工ETF,False,0.0,,
2026-05-29,创新药ETF,False,0.0,,
2026-05-29,半导体ETF,True,0.372394822371198,0.012078567716219369,0.3427284093412504
2026-05-29,恒生科技ETF,True,0.026811099087465744,0.00033975753565634317,0.0246752231527494
2026-05-29,房地产ETF,False,0.0,,
2026-05-29,旅游ETF,False,0.0,,
2026-05-29,机器人ETF嘉实,True,0.280856893647815,0.0054504516203904615,0.2584827463484229
2026-05-29,消费50ETF,False,0.0,,
2026-05-29,游戏ETF,False,0.0,,
2026-05-29,电池ETF,False,0.0,,
2026-05-29,科创50ETF,False,0.0,,
2026-05-29,银行ETF易方达,False,0.0,,
2026-06-05,人工智能ETF,True,0.23429090737324249,0.001993567986757172,0.07814397590564824
2026-06-05,军工ETF,False,0.0,,
2026-06-05,创新药ETF,False,0.0,,
2026-06-05,半导体ETF,True,0.46436762621768796,0.00566653647613991,0.15488237679112912
2026-06-05,恒生科技ETF,False,0.0,,
2026-06-05,房地产ETF,False,0.0,,
2026-06-05,旅游ETF,False,0.0,,
2026-06-05,机器人ETF嘉实,True,0.30134146640906956,0.002024582377608969,0.10050761488976322
2026-06-05,消费50ETF,False,0.0,,
2026-06-05,游戏ETF,False,0.0,,
2026-06-05,电池ETF,False,0.0,,
2026-06-05,科创50ETF,False,0.0,,
2026-06-05,银行ETF易方达,False,0.0,,
2026-06-12,人工智能ETF,False,0.0,,
2026-06-12,军工ETF,False,0.0,,
2026-06-12,创新药ETF,False,0.0,,
2026-06-12,半导体ETF,True,0.18361295041486636,0.0021726116651754777,0.0591581991364629
2026-06-12,恒生科技ETF,False,0.0,,
2026-06-12,房地产ETF,False,0.0,,
2026-06-12,旅游ETF,False,0.0,,
2026-06-12,机器人ETF嘉实,False,0.0,,
2026-06-12,消费50ETF,False,0.0,,
2026-06-12,游戏ETF,False,0.0,,
2026-06-12,电池ETF,False,0.0,,
2026-06-12,科创50ETF,False,0.0,,
2026-06-12,银行ETF易方达,True,0.8163870495851335,0.002350531676001938,0.2630314884797822
2026-06-22,人工智能ETF,True,0.3698313483820037,0.004059242197228735,0.13908048760602174
2026-06-22,军工ETF,False,0.0,,
2026-06-22,创新药ETF,False,0.0,,
2026-06-22,半导体ETF,True,0.531953194072061,0.007906238774857133,0.2000487788252703
2026-06-22,恒生科技ETF,False,0.0,,
2026-06-22,房地产ETF,False,0.0,,
2026-06-22,旅游ETF,False,0.0,,
2026-06-22,机器人ETF嘉实,False,0.0,,
2026-06-22,消费50ETF,False,0.0,,
2026-06-22,游戏ETF,False,0.0,,
2026-06-22,电池ETF,True,0.04907328943193715,0.00034691587999224893,0.01845472822270187
2026-06-22,科创50ETF,False,0.0,,
2026-06-22,银行ETF易方达,True,0.04914216811399818,0.00020884952318352967,0.01848063105849072
2026-06-29,人工智能ETF,True,0.19020046602604582,0.0038544848398980812,0.12374871861559915
2026-06-29,军工ETF,False,0.0,,
2026-06-29,创新药ETF,True,0.21322436705471595,0.0035404450107269893,0.13872858858836853
2026-06-29,半导体ETF,True,0.5965751669192382,0.014610462479428144,0.38814527643709
2026-06-29,恒生科技ETF,False,0.0,,
2026-06-29,房地产ETF,False,0.0,,
2026-06-29,旅游ETF,False,0.0,,
2026-06-29,机器人ETF嘉实,False,0.0,,
2026-06-29,消费50ETF,False,0.0,,
2026-06-29,游戏ETF,False,0.0,,
2026-06-29,电池ETF,False,0.0,,
2026-06-29,科创50ETF,False,0.0,,
2026-06-29,银行ETF易方达,False,0.0,,
2026-07-06,人工智能ETF,True,0.09156347624171951,0.002361211846158634,0.06695723832883023
2026-07-06,军工ETF,False,0.0,,
2026-07-06,创新药ETF,True,0.5016894628370708,0.009558143644109623,0.3668683443337749
2026-07-06,半导体ETF,True,0.4046211066659673,0.01185829489436569,0.29588557560207623
2026-07-06,恒生科技ETF,False,0.0,,
2026-07-06,房地产ETF,False,0.0,,
2026-07-06,旅游ETF,False,0.0,,
2026-07-06,机器人ETF嘉实,True,0.0021259542552424376,4.5704782628824826e-05,0.0015546376304966015
2026-07-06,消费50ETF,False,0.0,,
2026-07-06,游戏ETF,False,0.0,,
2026-07-06,电池ETF,False,0.0,,
2026-07-06,科创50ETF,False,0.0,,
2026-07-06,银行ETF易方达,False,0.0,,
2026-07-13,人工智能ETF,True,0.23013290667872227,0.005819977820591604,0.15811955810023176
2026-07-13,军工ETF,False,0.0,,
2026-07-13,创新药ETF,True,0.3776218784764888,0.007520049659171313,0.2594561786726108
2026-07-13,半导体ETF,True,0.34144560656026673,0.011003799241696467,0.23460021082489865
