"Date","ETF","Weight"
2025-03-14,"沪深300ETF",0.580588432205822
2025-03-17,"沪深300ETF",0.24992042432328
2025-03-18,"沪深300ETF",0.374867760391403
2025-03-19,"沪深300ETF",0.311255592685877
2025-03-20,"沪深300ETF",0.260596221461183
2025-03-21,"沪深300ETF",0
2025-03-24,"沪深300ETF",0
2025-03-25,"沪深300ETF",0.0615671571729804
2025-03-26,"沪深300ETF",0
2025-03-27,"沪深300ETF",0
2025-03-28,"沪深300ETF",0.0398356789295196
2025-03-31,"沪深300ETF",0.0126245604500874
2025-04-01,"沪深300ETF",0.0171730544144932
2025-04-02,"沪深300ETF",0
2025-04-03,"沪深300ETF",0
2025-04-07,"沪深300ETF",0
2025-04-08,"沪深300ETF",0
2025-04-09,"沪深300ETF",0
2025-04-10,"沪深300ETF",0
2025-04-11,"沪深300ETF",0
2025-04-14,"沪深300ETF",0
2025-04-15,"沪深300ETF",0
2025-04-16,"沪深300ETF",0
2025-04-17,"沪深300ETF",0
2025-04-18,"沪深300ETF",0
2025-04-21,"沪深300ETF",0
2025-04-22,"沪深300ETF",0
2025-04-23,"沪深300ETF",0
2025-04-24,"沪深300ETF",0
2025-04-25,"沪深300ETF",0
2025-04-28,"沪深300ETF",0
2025-04-29,"沪深300ETF",0
2025-04-30,"沪深300ETF",0
2025-05-06,"沪深300ETF",0
2025-05-07,"沪深300ETF",0
2025-05-08,"沪深300ETF",0.558074615185477
2025-05-09,"沪深300ETF",0.56390297246654
2025-05-12,"沪深300ETF",0.573833340994454
2025-05-13,"沪深300ETF",0.664252721237248
2025-05-14,"沪深300ETF",0.622670442547938
2025-05-15,"沪深300ETF",0.587078741079208
2025-05-16,"沪深300ETF",0.492745417496268
2025-05-19,"沪深300ETF",0.424928682324022
2025-05-20,"沪深300ETF",0.431550332521541
2025-05-21,"沪深300ETF",0.449631914697156
2025-05-22,"沪深300ETF",0.435216446273534
2025-05-23,"沪深300ETF",0.371386698357868
2025-05-26,"沪深300ETF",0.339515811010316
2025-05-27,"沪深300ETF",0.232642425974566
2025-05-28,"沪深300ETF",0.230632913490047
2025-05-29,"沪深300ETF",0.284767967783373
2025-05-30,"沪深300ETF",0.365712466583949
2025-06-03,"沪深300ETF",0.349677427205012
2025-06-04,"沪深300ETF",0.308437456051231
2025-06-05,"沪深300ETF",0.284593706897952
2025-06-06,"沪深300ETF",0.251647301003894
2025-06-09,"沪深300ETF",0.30894275925306
2025-06-10,"沪深300ETF",0
2025-06-11,"沪深300ETF",0.0969244617469433
2025-06-12,"沪深300ETF",0
2025-06-13,"沪深300ETF",0
2025-06-16,"沪深300ETF",0.0161294383820336
2025-06-17,"沪深300ETF",0.0610196341324214
2025-06-18,"沪深300ETF",0
2025-06-19,"沪深300ETF",0
2025-06-20,"沪深300ETF",0
2025-06-23,"沪深300ETF",0
2025-06-24,"沪深300ETF",0.452209154716057
2025-06-25,"沪深300ETF",0.628681117053425
2025-06-26,"沪深300ETF",0.644939080861278
2025-06-27,"沪深300ETF",0.568662984209771
